epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,8583.66,1.38246,1.03196,0.01253,0.76139,0.59213,0.68403,0.41188,1.51397,1.21104,0.01813,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,8722.65,1.37527,1.01985,0.01256,0.72682,0.61856,0.68392,0.41047,1.50906,1.21726,0.01809,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,8869.2,1.37144,1.01768,0.0124,0.7623,0.5963,0.68373,0.41088,1.51637,1.22045,0.01812,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,9013.29,1.37258,1.01253,0.01234,0.74484,0.61162,0.68477,0.41213,1.5195,1.22042,0.01814,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,9148.06,1.35301,1.00126,0.01224,0.74869,0.60811,0.68396,0.41198,1.51353,1.21219,0.01806,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,9300.07,1.34921,0.99779,0.01206,0.74998,0.60375,0.68355,0.41175,1.51184,1.21324,0.01793,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,9444.24,1.35717,0.98453,0.01218,0.74415,0.61115,0.68463,0.41178,1.51321,1.21655,0.01794,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,9586.55,1.35002,0.99037,0.01213,0.74922,0.60871,0.68244,0.41108,1.5116,1.22853,0.01795,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,9709.12,1.34149,0.98489,0.01217,0.74826,0.61331,0.68416,0.41139,1.51274,1.22463,0.01798,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,9832.69,1.33885,0.97598,0.012,0.76308,0.60132,0.68385,0.41133,1.51321,1.22637,0.01794,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,9955.63,1.33141,0.96728,0.01192,0.76971,0.59579,0.68306,0.41049,1.51799,1.23218,0.01808,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,10081.2,1.31956,0.95052,0.01195,0.74329,0.60406,0.67989,0.40997,1.52192,1.23697,0.01812,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,10215,1.31587,0.95841,0.01193,0.75672,0.6,0.6813,0.41096,1.52176,1.23954,0.01808,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,10348.2,1.326,0.9621,0.01183,0.76876,0.59138,0.68091,0.41042,1.52315,1.24038,0.01813,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,10480.3,1.29701,0.93488,0.01175,0.76119,0.59438,0.68196,0.41116,1.52022,1.24121,0.01809,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,10614.7,1.30805,0.94223,0.0117,0.75049,0.60037,0.68168,0.41021,1.51997,1.24297,0.01811,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,10756.3,1.30651,0.94228,0.01161,0.75386,0.59981,0.68079,0.40978,1.52056,1.24514,0.01809,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,10896.2,1.30125,0.93671,0.01157,0.74438,0.60862,0.68152,0.40937,1.51871,1.24804,0.01803,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
